[INFO] 23:09:04:088 log fulbo/(9340:9340): Hubo un fallo al conectarse a la direccion 127.0.0.1:15003, reintentando...
[INFO] 23:09:05:089 log fulbo/(9340:9340): Hubo un fallo al conectarse a la direccion 127.0.0.1:15003, reintentando...
[INFO] 23:09:06:090 log fulbo/(9340:9340): Hubo un fallo al conectarse a la direccion 127.0.0.1:15003, reintentando...
[INFO] 23:09:07:090 log fulbo/(9340:9340): Hubo un fallo al conectarse a la direccion 127.0.0.1:15003, reintentando...
[INFO] 23:09:08:091 log fulbo/(9340:9340): Hubo un fallo al conectarse a la direccion 127.0.0.1:15003, reintentando...
[INFO] 23:09:09:092 log fulbo/(9340:9340): Hubo un fallo al conectarse a la direccion 127.0.0.1:15003, reintentando...
[INFO] 23:09:10:092 log fulbo/(9340:9340): Hubo un fallo al conectarse a la direccion 127.0.0.1:15003, reintentando...
[INFO] 23:09:15:748 log fulbo/(9365:9365): Hubo un fallo al conectarse a la direccion 127.0.0.1:15001, reintentando...
[INFO] 23:09:16:749 log fulbo/(9365:9365): Hubo un fallo al conectarse a la direccion 127.0.0.1:15001, reintentando...
[INFO] 23:09:17:752 log fulbo/(9365:9365): Hubo un fallo al conectarse a la direccion 127.0.0.1:15001, reintentando...
[INFO] 01:22:52:219 log fulbo/(26784:26784): Hubo un fallo al conectarse a la direccion 127.0.0.1:15002, reintentando...
[INFO] 01:24:41:917 log fulbo/(27003:27003): Hubo un fallo al conectarse a la direccion 127.0.0.1:15003, reintentando...
[INFO] 01:24:42:970 log fulbo/(27003:27003): Hubo un fallo al conectarse a la direccion 127.0.0.1:15003, reintentando...
[INFO] 01:24:43:974 log fulbo/(27003:27003): Hubo un fallo al conectarse a la direccion 127.0.0.1:15003, reintentando...
[INFO] 01:25:57:651 log fulbo/(27152:27152): Hubo un fallo al conectarse a la direccion 127.0.0.1:15002, reintentando...
